@relation weka_TrainingData_CerData_include_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,61.199997,0,-20.399999,-59.4,33.999999,4,cluster1
1,58.5,0,-58.5,-58.5,16.25,2,cluster1
2,51.299999,0,-51.299999,-51.299999,14.25,2,cluster1
3,69.299995,16.199999,-26.549998,-50.4,42.249998,3,cluster1
4,52.199997,0.7,-12.599999,-48.59997,18.111103,5,cluster1
5,56.270603,0,-28.135302,-46.072006,28.428503,3,cluster1
6,44.099998,0,-44.099998,-44.099998,12.25,2,cluster1
7,43.199997,0,-21.599998,-42.299999,23.749999,3,cluster1
8,37.799999,0,-37.799999,-37.799999,10.5,2,cluster1
9,45.516403,0,-7.586067,-37.511456,67.033667,7,cluster1
10,67.5,15.299999,-17.4,-36.899998,53.249998,4,cluster1
11,72,37.799999,-34.200001,-34.200001,30.5,2,cluster1
12,54,20.699999,-33.300001,-33.300001,20.75,2,cluster1
13,70.199997,37.799999,-32.399998,-32.399998,29.999999,2,cluster1
14,112.5,48.599998,-15.975,-31.5,95.999999,5,cluster1
15,32.676105,0,-10.892035,-30.827595,26.364912,4,cluster1
16,63.966156,0,-5.330513,-30.001295,161.436759,13,cluster0
17,83.699997,0,-13.949999,-29.700001,89.999997,7,cluster1
18,28.965776,0,-28.965776,-28.965776,8.046049,2,cluster1
19,36,0.9,-8.775,-28.8,20.25,5,cluster1
20,31.21158,0,-10.40386,-28.069338,24.704143,4,cluster1
21,67.52528,0,-3.751404,-27.747456,223.502981,19,cluster0
22,62.099998,20.699999,-8.28,-27,54.499999,6,cluster1
23,46.009743,0,-9.201949,-26.62602,47.499287,6,cluster1
24,32.23027,0,-16.115135,-26.526611,16.321356,3,cluster1
25,27,0.9,-26.1,-26.1,7.75,2,cluster1
