@relation weka_TestData_driverHabit_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,61.199997,0,-20.399999,-59.4,33.999999,4,cluster2
1,58.5,0.9,-57.6,-57.6,16.5,2,cluster2
2,69.299995,16.199999,-26.549998,-50.4,42.249998,3,cluster2
3,50.810238,0,-25.405119,-49.89135,27.972663,3,cluster2
4,48.599998,0,-48.599998,-48.599998,13.5,2,cluster2
5,37.799999,0,-37.799999,-37.799999,10.5,2,cluster2
6,54,20.699999,-33.300001,-33.300001,20.75,2,cluster2
7,112.5,48.599998,-15.975,-31.5,95.999999,5,cluster2
8,32.676105,0,-10.892035,-30.827595,26.364912,4,cluster2
9,28.965776,0,-28.965776,-28.965776,8.046049,2,cluster2
10,28.799999,0,-28.799999,-28.799999,8,2,cluster2
11,46.799999,8.099999,-12.9,-28.799999,23.5,4,cluster2
12,29.225641,0,-3.247293,-28.23059,71.666561,10,cluster2
13,32.23027,0,-16.115135,-26.526611,16.321356,3,cluster2
14,91.799995,65.699997,-26.099998,-26.099998,43.749998,2,cluster2
15,25.94993,0,-25.94993,-25.94993,7.208314,2,cluster2
16,42.66527,0,-3.878661,-25.391762,96.151219,12,cluster2
17,89.099998,0,-6.364286,-25.199997,156.749996,15,cluster2
18,35.099998,0,-17.549999,-24.299999,12.749999,3,cluster2
19,57.6,27.9,-14.85,-24.299997,38.249999,3,cluster2
20,47.16115,0,-4.716115,-24.113297,87.390232,11,cluster2
21,54.899998,0,-13.724999,-23.399998,32.749999,5,cluster2
22,33.299999,0,-8.325,-22.5,30.249999,5,cluster2
23,40.110737,3.05234,-4.236275,-22.210208,39.400832,9,cluster2
24,60.3,38.7,-21.6,-21.6,27.5,2,cluster2
25,45,0,-7.5,-21.6,29.5,7,cluster2
26,44.87661,0,-6.410944,-20.769518,62.443884,8,cluster2
27,27.9,0,-5.58,-20.7,12.75,6,cluster2
28,54.899998,0,-3.66,-20.699999,162.499995,16,cluster3
29,53.1,0,-7.585714,-20.699997,52.249999,8,cluster2
30,20.225883,0,-20.225883,-20.225883,5.618301,2,cluster2
31,59.399998,39.6,-19.799998,-19.799998,27.499999,2,cluster2
32,52.199997,26.099998,-5.22,-18.900002,75.499998,6,cluster2
33,39.6,0,-9.9,-18.900001,21.5,5,cluster2
34,18.9,0,-18.9,-18.9,5.25,2,cluster2
35,20.831343,0,-4.166269,-18.112333,27.339732,6,cluster2
36,44.1,0,-3.675,-18.100001,73.416666,13,cluster3
