@relation weka_test_jee_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,32.676105,0,-10.892035,-30.827595,26.364912,4,19.375334,cluster2
1,63.966156,0,-5.330513,-30.001295,161.436759,13,12.959184,cluster5
2,31.735727,0,-10.578576,-29.441807,25.555392,4,9.921875,cluster2
3,28.965776,0,-28.965776,-28.965776,8.046049,2,9.477612,cluster2
4,29.225641,0,-3.247293,-28.23059,71.666561,10,13.804348,cluster5
5,31.21158,0,-10.40386,-28.069338,24.704143,4,21.41723,cluster2
6,67.52528,0,-3.751404,-27.747456,223.502981,19,15.875,cluster5
7,29.220182,0,-4.87003,-27.115658,47.535848,7,11.273261,cluster5
8,46.009743,0,-9.201949,-26.62602,47.499287,6,12.58389,cluster5
9,32.23027,0,-16.115135,-26.526611,16.321356,3,14.767442,cluster2
10,25.94993,0,-25.94993,-25.94993,7.208314,2,13.804348,cluster2
11,25.633856,0,-25.633856,-25.633856,7.120516,2,11.273261,cluster2
12,42.66527,0,-3.878661,-25.391762,96.151219,12,9.335809,cluster5
13,31.367655,0,-2.412897,-25.374035,101.896033,14,7.516631,cluster5
14,29.30468,0,-3.256076,-24.422216,68.547905,10,17.771799,cluster5
15,25.5964,0,-8.532133,-24.389275,20.906859,4,8.246753,cluster2
16,32.209976,0,-5.368329,-24.369963,45.520649,7,11.892169,cluster5
17,24.32804,0,-24.32804,-24.32804,6.757789,2,6.420039,cluster2
18,47.16115,0,-4.716115,-24.113297,87.390232,11,15.251958,cluster5
19,31.450657,0,-1.965666,-23.77089,122.633961,17,8.581081,cluster5
20,35.978985,0,-8.994746,-23.653046,33.806744,5,28.863636,cluster2
21,23.947475,0,-5.986869,-22.678804,26.138476,5,5.825688,cluster2
22,22.238628,0.022537,-22.216091,-22.216091,6.183657,2,4.482225,cluster2
23,40.110737,3.05234,-4.236275,-22.210208,39.400832,9,8.246753,cluster1
24,49.25234,0,-6.156542,-21.786533,81.10503,9,19.375334,cluster5
25,39.567036,0,-3.043618,-21.438473,109.483106,14,7.383721,cluster5
26,44.87661,0,-6.410944,-20.769518,62.443884,8,10.716243,cluster5
