@relation weka_TrainingData_driverHabit_jee_df_clustered

@attribute Instance_number numeric
@attribute 56.270603 numeric
@attribute 0 numeric
@attribute -28.1353015 numeric
@attribute -46.072006 numeric
@attribute 28.4285025 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,41.061848,0,-41.061848,-41.061848,11.406069,2,cluster1
1,45.516403,0,-7.586067,-37.511456,67.033667,7,cluster1
2,63.966156,0,-5.330513,-30.001295,161.436759,13,cluster1
3,31.735727,0,-10.578576,-29.441807,25.555392,4,cluster1
4,31.21158,0,-10.40386,-28.069338,24.704143,4,cluster1
5,67.52528,0,-3.751404,-27.747456,223.502981,19,cluster1
6,29.220182,0,-4.87003,-27.115658,47.535848,7,cluster1
7,46.009743,0,-9.201949,-26.62602,47.499287,6,cluster1
8,25.633856,0,-25.633856,-25.633856,7.120516,2,cluster1
9,31.367655,0,-2.412897,-25.374035,101.896033,14,cluster1
10,29.30468,0,-3.256076,-24.422216,68.547905,10,cluster1
11,25.5964,0,-8.532133,-24.389275,20.906859,4,cluster1
12,32.209976,0,-5.368329,-24.369963,45.520649,7,cluster1
13,24.32804,0,-24.32804,-24.32804,6.757789,2,cluster1
14,31.450657,0,-1.965666,-23.77089,122.633961,17,cluster1
15,35.978985,0,-8.994746,-23.653046,33.806744,5,cluster1
16,23.947475,0,-5.986869,-22.678804,26.138476,5,cluster1
17,22.238628,0.022537,-22.216091,-22.216091,6.183657,2,cluster1
18,49.25234,0,-6.156542,-21.786533,81.10503,9,cluster1
19,39.567036,0,-3.043618,-21.438473,109.483106,14,cluster1
20,26.563694,0,-2.414881,-19.016636,71.076386,12,cluster1
21,20.147503,0,-5.036876,-18.684433,21.650005,5,cluster1
22,55.665325,0,-6.185036,-18.593787,57.493095,10,cluster1
23,21.654179,0,-4.330836,-18.476068,28.219821,6,cluster1
24,18.113012,0,-18.113012,-18.113012,5.031392,2,cluster1
25,60.659836,0,-10.109973,-18.095012,61.511613,7,cluster1
26,24.38271,0,-12.191355,-18.06988,11.792386,3,cluster1
27,20.994041,0,-6.998014,-17.941673,16.218074,4,cluster1
28,20.70194,0,-2.587743,-17.647993,41.758182,9,cluster1
29,17.617264,0,-17.617264,-17.617264,4.893684,2,cluster1
30,55.782852,0,-4.648571,-17.525728,126.268195,13,cluster1
31,23.66355,0,-7.88785,-16.861387,13.93084,4,cluster1
32,28.195253,0,-5.639051,-16.832491,25.70218,6,cluster1
33,30.194855,0,-7.548714,-16.583502,29.610799,5,cluster1
34,18.709034,0,-3.118172,-16.503342,29.674191,7,cluster1
35,17.891386,0,-4.472847,-16.503305,19.274408,5,cluster1
36,16.124212,0,-16.124212,-16.124212,4.478948,2,cluster1
37,16.10973,0,-16.10973,-16.10973,4.474925,2,cluster1
38,17.162003,0,-5.720668,-15.784955,13.830639,4,cluster1
39,15.764394,0,-15.764394,-15.764394,4.378998,2,cluster1
40,18.955126,0,-9.477563,-15.671307,9.618454,3,cluster1
41,15.692265,0.010496,-7.840884,-15.457043,4.427217,3,cluster1
42,99.094955,82.58792,-8.253517,-15.216045,73.767162,3,cluster2
43,61.237976,0,-5.567089,-15.01088,117.265809,12,cluster1
44,19.557924,0,-3.911585,-14.952943,23.895666,6,cluster1
45,14.621078,0,-14.621078,-14.621078,4.061411,2,cluster1
46,37.378307,0,-4.153145,-14.174257,73.945566,10,cluster1
47,44.41086,9.529203,-3.554522,-14.104044,43.401502,8,cluster2
48,52.95686,28.129389,-4.965494,-13.834688,75.333701,6,cluster2
49,69.940216,0,-3.885568,-13.008604,239.236552,19,cluster1
50,12.99998,0,-12.99998,-12.99998,3.611106,2,cluster1
51,53.50602,0,-3.821859,-12.847498,129.687355,15,cluster1
52,40.44772,1.636241,-6.46858,-12.456591,28.925099,7,cluster2
53,14.312394,0,-1.789049,-12.222461,29.910598,9,cluster1
54,44.26931,23.973528,-2.029578,-11.74615,90.33172,11,cluster2
55,46.793354,33.029278,-6.882038,-11.694607,31.922605,3,cluster2
56,113.284645,101.68987,-11.594775,-11.594775,59.715143,2,cluster2
57,11.054029,0,-11.054029,-11.054029,3.070564,2,cluster1
