@relation weka_habit_test_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,58.5,0.9,-57.6,-57.6,16.5,2,6.827957,cluster3
1,48.599998,0,-48.599998,-48.599998,13.5,2,3.359788,cluster2
2,37.799999,0,-37.799999,-37.799999,10.5,2,17.295072,cluster2
3,54,20.699999,-33.300001,-33.300001,20.75,2,4.945306,cluster3
4,28.799999,0,-28.799999,-28.799999,8,2,3.135985,cluster2
5,69.299995,16.199999,-26.549998,-50.4,42.249998,3,4.002853,cluster1
6,91.799995,65.699997,-26.099998,-26.099998,43.749998,2,7.650602,cluster4
7,60.3,38.7,-21.6,-21.6,27.5,2,6.01254,cluster3
8,61.199997,0,-20.399999,-59.4,33.999999,4,9.704312,cluster2
9,59.399998,39.6,-19.799998,-19.799998,27.499999,2,23.725019,cluster3
10,18.9,0,-18.9,-18.9,5.25,2,3.273196,cluster2
11,35.099998,0,-17.549999,-24.299999,12.749999,3,35.410688,cluster2
12,112.5,48.599998,-15.975,-31.5,95.999999,5,7.559524,cluster4
13,57.6,27.9,-14.85,-24.299997,38.249999,3,5.247934,cluster3
14,19.8,5.4,-14.4,-14.4,7,2,3.935305,cluster3
15,54.899998,0,-13.724999,-23.399998,32.749999,5,3.442888,cluster2
16,16.199999,2.7,-13.499999,-13.499999,5.25,2,5.288018,cluster3
17,46.799999,8.099999,-12.9,-28.799999,23.5,4,24.555987,cluster6
18,22.5,9.9,-12.6,-12.6,9,2,4.319728,cluster3
19,24.3,0,-12.15,-13.5,10.5,3,12.58389,cluster2
20,11.7,0,-11.7,-11.7,3.25,2,11.759259,cluster2
21,22.5,0,-11.25,-18,7.5,3,9.071429,cluster2
22,27.9,6.3,-10.8,-13.5,13.5,3,10.583333,cluster3
23,12.599999,1.8,-10.799999,-10.799999,4,2,17.721989,cluster1
24,30.599998,9.9,-10.349999,-12.599998,16.249999,3,22.885071,cluster3
25,39.6,0,-9.9,-18.900001,21.5,5,12.294638,cluster2
26,9.9,0,-9.9,-9.9,2.75,2,4.497041,cluster2
27,45,26.099998,-9.450001,-14.400002,28.249999,3,21.299577,cluster3
