@relation weka_TrainingData_driverHabit_park_df_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,58.5,0,-58.5,-58.5,16.25,2,cluster2
1,62.099998,0,-20.699999,-57.599998,50.249998,4,cluster2
2,61.199997,6.3,-27.449999,-53.999997,20.749999,3,cluster2
3,51.299999,0,-51.299999,-51.299999,14.25,2,cluster2
4,52.199997,0.7,-12.599999,-48.59997,18.111103,5,cluster2
5,44.099998,0,-44.099998,-44.099998,12.25,2,cluster2
6,43.199997,0,-21.599998,-42.299999,23.749999,3,cluster2
7,67.5,15.299999,-17.4,-36.899998,53.249998,4,cluster2
8,72,37.799999,-34.200001,-34.200001,30.5,2,cluster2
9,54.899998,20.699999,-34.199999,-34.199999,20.999999,2,cluster2
10,41.399998,0.9,-10.124999,-32.4,43.249999,5,cluster2
11,70.199997,37.799999,-32.399998,-32.399998,29.999999,2,cluster2
12,32.399998,0,-32.399998,-32.399998,8.999999,2,cluster2
13,53.1,12.599999,-13.5,-31.500001,44,4,cluster2
14,44.1,4.5,-9.9,-31.500001,21.249999,5,cluster2
15,83.699997,0,-13.949999,-29.700001,89.999997,7,cluster2
16,36,0.9,-8.775,-28.8,20.25,5,cluster2
17,62.099998,20.699999,-8.28,-27,54.499999,6,cluster2
18,27,0.9,-26.1,-26.1,7.75,2,cluster2
19,24.3,0,-24.3,-24.3,6.75,2,cluster2
20,24.299999,0.9,-23.399999,-23.399999,7,2,cluster2
21,54.899998,0,-6.8625,-23.399998,54.749999,9,cluster2
22,101.7,59.399998,-7.05,-22.5,140.999997,7,cluster2
23,91.799995,54,-9.449999,-21.599998,93.499996,5,cluster2
24,39.6,0,-6.6,-20.7,27.75,7,cluster2
25,41.399998,0,-8.28,-20.699999,25.249999,6,cluster2
26,67.5,5.299999,-4.745455,-19.9,138.388887,12,cluster0
27,22.5,2.7,-19.8,-19.8,7,2,cluster2
28,65.699997,44.099998,-10.799999,-19.799999,43.249998,3,cluster2
29,28.8,3.5,-4.32,-19,24.472222,6,cluster2
30,62.1,0,-8.871429,-18.900003,47.999999,8,cluster2
31,46.799999,0,-5.2,-18.900002,75.249998,10,cluster0
32,41.4,22.5,-18.9,-18.9,17.75,2,cluster2
33,53.1,32.399998,-10.350001,-18.9,33.249999,3,cluster2
34,23.4,0,-7.8,-18.9,17.25,4,cluster2
35,55.8,0,-5.58,-18.899998,102.749998,11,cluster0
36,72,0,-6,-18.000001,147.749999,13,cluster0
37,38.7,20.7,-18,-18,16.5,2,cluster2
38,31.5,0,-7.875,-18,14.75,5,cluster2
39,24.299999,6.3,-18,-18,8.5,2,cluster2
40,50.399998,2.7,-5.9625,-17.999999,87.749999,9,cluster0
41,39.6,7,-4.68,-17.2,32.888889,6,cluster2
42,45,0,-9,-17.100001,44.5,6,cluster2
43,36.899998,10.799999,-8.7,-17.100001,30.249999,4,cluster2
44,54,0,-6.75,-17.1,75.749999,9,cluster0
